Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,seralex,FBC Colorado,20,3
1,2,HS SPORTS F.C,Gremiomaniasm,7,6
1,3,Dom Camillo68,DM Studio,2,1
1,4,TATITTA FC,TIGRE LEON,11,12
1,5,pura bucha /botafogo,FC castelo Branco 2,19,4
1,6,PÃO DE QUEIJO FC25,cartola scheuer,10,16
1,7,Tabajara de Inhaua PB7,lsauer fc,13,17
1,8,Fedato Futebol Clube,MauHumor F.C.,5,8
1,9,pra sempre imortal fc,Tatols Beants F.C,18,14
1,10,Texas Club 2025,Noah A 10,15,9
2,1,FBC Colorado,TIGRE LEON,3,12
2,2,Gremiomaniasm,DM Studio,6,1
2,3,TATITTA FC,HS SPORTS F.C,11,7
2,4,FC castelo Branco 2,Dom Camillo68,4,2
2,5,PÃO DE QUEIJO FC25,pura bucha /botafogo,10,19
2,6,seralex,Tabajara de Inhaua PB7,20,13
2,7,Fedato Futebol Clube,cartola scheuer,5,16
2,8,pra sempre imortal fc,lsauer fc,18,17
2,9,MauHumor F.C.,Texas Club 2025,8,15
2,10,Noah A 10,Tatols Beants F.C,9,14
3,1,FBC Colorado,HS SPORTS F.C,3,7
3,2,Gremiomaniasm,TATITTA FC,6,11
3,3,DM Studio,FC castelo Branco 2,1,4
3,4,Dom Camillo68,PÃO DE QUEIJO FC25,2,10
3,5,TIGRE LEON,Tabajara de Inhaua PB7,12,13
3,6,Fedato Futebol Clube,pura bucha /botafogo,5,19
3,7,pra sempre imortal fc,seralex,18,20
3,8,Texas Club 2025,cartola scheuer,15,16
3,9,Noah A 10,lsauer fc,9,17
3,10,Tatols Beants F.C,MauHumor F.C.,14,8
4,1,FBC Colorado,TATITTA FC,3,11
4,2,Gremiomaniasm,FC castelo Branco 2,6,4
4,3,DM Studio,PÃO DE QUEIJO FC25,1,10
4,4,HS SPORTS F.C,Tabajara de Inhaua PB7,7,13
4,5,Fedato Futebol Clube,Dom Camillo68,5,2
4,6,pra sempre imortal fc,TIGRE LEON,18,12
4,7,Texas Club 2025,pura bucha /botafogo,15,19
4,8,Noah A 10,seralex,9,20
4,9,Tatols Beants F.C,cartola scheuer,14,16
4,10,lsauer fc,MauHumor F.C.,17,8
5,1,FBC Colorado,Gremiomaniasm,3,6
5,2,FC castelo Branco 2,PÃO DE QUEIJO FC25,4,10
5,3,Tabajara de Inhaua PB7,TATITTA FC,13,11
5,4,DM Studio,Fedato Futebol Clube,1,5
5,5,pra sempre imortal fc,HS SPORTS F.C,18,7
5,6,Dom Camillo68,Texas Club 2025,2,15
5,7,TIGRE LEON,Noah A 10,12,9
5,8,Tatols Beants F.C,pura bucha /botafogo,14,19
5,9,MauHumor F.C.,seralex,8,20
5,10,cartola scheuer,lsauer fc,16,17
