Clube ID,Jogos,Pontos,Vitorias,Empates,Derrotas,SG Total,Gols Marcados,Gols Sofridos,Gols Marcados Casa,Gols Sofridos Casa,Gols Marcados Fora,Gols Sofridos Fora,Vitorias Casa,Empates Casa,Derrotas Casa,Vitorias Fora,Empates Fora,Derrotas Fora,Jogos Casa,Jogos Fora
FLA,11,24,7,3,1,20,24,4,17,1,7,3,4,2,0,3,1,1,6,5
CRU,12,24,7,3,2,9,17,8,10,3,7,5,5,1,0,2,2,2,6,6
RBB,12,23,7,2,3,3,14,11,7,7,7,4,4,1,2,3,1,1,7,5
PAL,11,22,7,1,3,4,12,8,3,3,9,5,2,1,2,5,0,1,5,6
BAH,12,21,6,3,3,3,14,11,8,4,6,7,4,2,0,2,1,3,6,6
FLU,11,20,6,2,3,3,15,12,8,4,7,8,4,1,0,2,1,3,5,6
CAM,12,20,5,5,2,3,13,10,8,4,5,6,3,3,0,2,2,2,6,6
BOT,11,18,5,3,3,7,14,7,13,4,1,3,4,1,0,1,2,3,5,6
MIR,11,17,4,5,2,5,17,12,10,5,7,7,3,2,0,1,3,2,5,6
COR,12,16,4,4,4,-2,13,15,10,5,3,10,4,1,1,0,3,3,6,6
GRE,12,16,4,4,4,-3,12,15,7,6,5,9,3,3,1,1,1,3,7,5
CEA,11,15,4,3,4,2,13,11,8,3,5,8,4,1,1,0,2,3,6,5
VAS,12,13,4,1,7,-2,14,16,8,5,6,11,3,1,2,1,0,5,6,6
SAO,12,12,2,6,4,-4,10,14,6,8,4,6,2,3,2,0,3,2,7,5
SAN,12,11,3,2,7,-3,11,14,5,5,6,9,1,2,2,2,0,5,5,7
VIT,12,11,2,5,5,-4,10,14,6,6,4,8,2,2,2,0,3,3,6,6
INT,12,11,2,5,5,-6,12,18,7,5,5,13,2,1,2,0,4,3,5,7
FOR,12,10,2,4,6,-6,12,18,10,7,2,11,2,1,3,0,3,3,6,6
JUV,11,8,2,2,7,-16,8,24,7,7,1,17,2,2,2,0,0,5,6,5
SPT,11,3,0,3,8,-13,5,18,2,8,3,10,0,2,3,0,1,5,5,6
