Clube ID,Media Gols Marcados Casa,Media Gols Marcados Fora,Media Gols Sofridos Casa,Media Gols Sofridos Fora,Saldo Gols Casa,Saldo Gols Fora
FLA,2.8333333333333335,1.4,0.16666666666666666,0.6,16,4
CRU,1.6666666666666667,1.1666666666666667,0.5,0.8333333333333334,7,2
RBB,1.0,1.4,1.0,0.8,0,3
PAL,0.6,1.5,0.6,0.8333333333333334,0,4
BAH,1.3333333333333333,1.0,0.6666666666666666,1.1666666666666667,4,-1
FLU,1.6,1.1666666666666667,0.8,1.3333333333333333,4,-1
CAM,1.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,4,-1
BOT,2.6,0.16666666666666666,0.8,0.5,9,-2
MIR,2.0,1.1666666666666667,1.0,1.1666666666666667,5,0
COR,1.6666666666666667,0.5,0.8333333333333334,1.6666666666666667,5,-7
GRE,1.0,1.0,0.8571428571428571,1.8,1,-4
CEA,1.3333333333333333,1.0,0.5,1.6,5,-3
VAS,1.3333333333333333,1.0,0.8333333333333334,1.8333333333333333,3,-5
SAO,0.8571428571428571,0.8,1.1428571428571428,1.2,-2,-2
SAN,1.0,0.8571428571428571,1.0,1.2857142857142858,0,-3
VIT,1.0,0.6666666666666666,1.0,1.3333333333333333,0,-4
INT,1.4,0.7142857142857143,1.0,1.8571428571428572,2,-8
FOR,1.6666666666666667,0.3333333333333333,1.1666666666666667,1.8333333333333333,3,-9
JUV,1.1666666666666667,0.2,1.1666666666666667,3.4,0,-16
SPT,0.4,0.5,1.6,1.6666666666666667,-6,-7
