Clube ID,Media Pontos por Jogo,Media Pontos por Jogo Casa,Media Pontos por Jogo Fora,Total Pontos Casa,Total Pontos Fora
FLA,2.1818181818181817,2.3333333333333335,2.0,14,10
CRU,2.0,2.6666666666666665,1.3333333333333333,16,8
RBB,1.9166666666666667,1.8571428571428572,2.0,13,10
PAL,2.0,1.4,2.5,7,15
BAH,1.75,2.3333333333333335,1.1666666666666667,14,7
FLU,1.8181818181818181,2.6,1.1666666666666667,13,7
CAM,1.6666666666666667,2.0,1.3333333333333333,12,8
BOT,1.6363636363636365,2.6,0.8333333333333334,13,5
MIR,1.5454545454545454,2.2,1.0,11,6
COR,1.3333333333333333,2.1666666666666665,0.5,13,3
GRE,1.3333333333333333,1.7142857142857142,0.8,12,4
CEA,1.3636363636363635,2.1666666666666665,0.4,13,2
VAS,1.0833333333333333,1.6666666666666667,0.5,10,3
SAO,1.0,1.2857142857142858,0.6,9,3
SAN,0.9166666666666666,1.0,0.8571428571428571,5,6
VIT,0.9166666666666666,1.3333333333333333,0.5,8,3
INT,0.9166666666666666,1.4,0.5714285714285714,7,4
FOR,0.8333333333333334,1.1666666666666667,0.5,7,3
JUV,0.7272727272727273,1.3333333333333333,0.0,8,0
SPT,0.2727272727272727,0.4,0.16666666666666666,2,1
